model,target,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2
Linear Regression,NOx(GT),66.97334743996146,93.10425013277056,0.8000784950485257,128.24123718406517,156.44809813173714,0.3195047427006408
Ridge,NOx(GT),66.97120770829306,93.10450916433614,0.8000773826169796,128.0626851643236,156.21921251906596,0.3214944330775147
Lasso,NOx(GT),66.97290599408902,93.1043118051033,0.8000782301920957,128.1273055203736,156.30722245289158,0.3207297121433428
Random Forest,NOx(GT),10.724998873112463,17.253748826743866,0.993134258592512,86.80871171171172,116.93686287580249,0.6198216302952224
SVR,NOx(GT),60.27984358226307,95.31618423153432,0.790466341861719,66.51047462366977,88.55883402745259,0.7819539083210684
XGBoost,NOx(GT),19.297689411751396,28.34109049880914,0.9814751963751519,84.20907127422255,113.86883372806311,0.6395091285057517
LightGBM,NOx(GT),21.26278400695687,32.292608781600705,0.9759493531375237,87.94485183343315,119.19695848524691,0.6049838295828516
