model,target,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2
Linear Regression,NO2(GT),15.365231834354432,20.43278047109328,0.7750803862200878,29.334063376384194,37.76092846815749,0.4799825856464297
Ridge,NO2(GT),15.364863235027155,20.432874059670688,0.775078325809864,29.292974005569324,37.72602742090405,0.48094340762764143
Lasso,NO2(GT),15.365437874032246,20.43299996062682,0.7750755540078165,29.28132853799575,37.71771619178709,0.48117208386848953
Random Forest,NO2(GT),3.8839567128846806,5.34785165274953,0.9845925383889439,24.10311020960108,32.56197464625027,0.6133179372001548
SVR,NO2(GT),16.13668220697374,21.549383623091874,0.7498260439348337,23.30140849683871,33.61816387738342,0.5878260512913814
XGBoost,NO2(GT),7.871012072487381,10.631216380093601,0.9391110750532365,24.54451277257624,32.4669608922291,0.6155712717812956
LightGBM,NO2(GT),8.338162611478204,11.345497706137442,0.930654306489231,25.305186964094528,33.04260589502248,0.6018184433399578
