model,target,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2
Linear Regression,CO(GT),0.3345714347276112,0.46960755571597534,0.8972412396697343,0.7175471022739145,0.8887761734366433,0.5328575296750107
Ridge,CO(GT),0.3345063413297448,0.4696101151095063,0.8972401195820359,0.7162749925647052,0.8873124894036408,0.5343948930252451
Lasso,CO(GT),0.33753895020009794,0.47770496030407045,0.8936669658559364,0.6508914169386532,0.8088429651698307,0.6131051298327769
Random Forest,CO(GT),0.09251421276595756,0.14223618482732076,0.9905731001280684,0.4288931245745407,0.5897304757571549,0.7943296489271264
SVR,CO(GT),0.3103838484767626,0.46413349457684305,0.8996229272971783,0.3950076829672944,0.5457422089379876,0.823867445016386
XGBoost,CO(GT),0.15486911090942138,0.21428966287767784,0.9786030856677914,0.3897045229997173,0.5445727183275838,0.8246215177604077
LightGBM,CO(GT),0.1757265776011967,0.24710840929897712,0.9715472823124246,0.37660136019167695,0.5308973767616552,0.833319150538025
