Model,Avg Train RMSE,Avg Test RMSE,Test RMSE Std,Avg Test R²,Avg Test MAE,Overfitting Ratio
Linear Regression,0.17692821671038916,0.2764376781016028,0.0816193328290562,0.9571458314735143,0.2167804719805076,1.5624284426836168
Ridge (α=0.01),0.1769284485183245,0.2765296570955883,0.08172370962488383,0.9571130064284619,0.21687296964108432,1.5629462611093212
Lasso (α=0.01),0.23448289254532056,0.3458692381440639,0.08431797180630843,0.9337256092724117,0.2585114131029528,1.4750297319759254
Random Forest,0.09938132431150974,0.44311966007734016,0.12451303903010628,0.8984724635578296,0.2826328488123141,4.45878200101647
