model,target,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2
Linear Regression,C6H6(GT),1.1777386959930178,1.696669099882584,0.9496834255077711,3.480903017780405,4.186864296030276,0.5869782808174411
Ridge,C6H6(GT),1.1777140593107156,1.6966846228906576,0.949682504800056,3.4718805145647695,4.1773613231062505,0.5888510331703202
Lasso,C6H6(GT),1.1791337955586605,1.6987528534647025,0.9495597576385909,3.4027319259839754,4.095252396592198,0.6048550220361606
Random Forest,C6H6(GT),0.2666451612903217,0.4214892596003738,0.9968947984736408,2.138479525662407,2.6435411949290017,0.8353478957213671
SVR,C6H6(GT),1.1176893643521746,1.7229995191395753,0.9481095928111328,1.3018771058061103,1.7742595342669565,0.9258298058674542
XGBoost,C6H6(GT),0.4451830238137018,0.5940638154291427,0.9938314517434258,1.4277878190756772,2.082443565674745,0.897825716218493
LightGBM,C6H6(GT),0.4869114013455839,0.7093376417519103,0.9912052645604243,1.234247045892854,1.706748004770249,0.931366850592052
